Run,Data,Algorithm,Train.Acc,Test.Acc,Train.1,Train.2,Train.3,Train.4,Train.5,Test.1,Test.2,Test.3,Test.4,Test.5
1,iv_dat,rpart,71.7,57.3,95.1,82.4,23.6,46.9,93.9,74,69.3,20.8,12,86.8
2,iv_sub,rpart,63.2,53,74.1,82.4,33.3,0,95.1,66.8,64.4,6.8,6,93.9
3,iv_tdat,rpart,71.7,57.3,95.1,82.4,23.6,46.9,93.9,74,69.3,20.8,12,86.8
4,iv_tsub,rpart,63.2,53,74.1,82.4,33.3,0,95.1,66.8,64.4,6.8,6,93.9
5,iv_dat,rf,100,62.4,100,100,100,100,100,77.7,88.2,18,14.2,85.4
6,iv_sub,rf,89.3,56.3,98.8,96.7,66.7,75.5,100,67.4,73.6,11.1,0,98.8
7,iv_tdat,rf,100,63.7,100,100,100,100,100,82,82.5,20.9,24.2,85.4
8,iv_tsub,rf,89.3,56.3,98.8,96.7,66.7,75.5,100,67.4,73.6,11.1,0,98.8
9,iv_dat,ranger,100,64,100,100,100,100,100,78.9,91.3,16.5,16,87.8
10,iv_sub,ranger,100,55.2,100,100,100,100,100,66.8,72.5,8.4,4,95.1
11,iv_tdat,ranger,100,64,100,100,100,100,100,78.9,91.3,16.5,16,87.8
12,iv_tsub,ranger,100,55.2,100,100,100,100,100,66.8,72.5,8.4,4,95.1
13,iv_dat,rFerns,63.2,56.8,53.1,71.4,44.4,42.9,92.7,45,66.6,36,30.2,90.1
14,iv_sub,rFerns,59.5,50.4,65.4,51.6,34.7,34.7,98.8,52.5,43.2,22.1,20.2,98.8
15,iv_tdat,rFerns,60.5,55.7,45.7,71.4,45.8,38.8,89,41.3,67.1,33.1,32.2,90.1
16,iv_tsub,rFerns,59.5,50.4,65.4,51.6,34.7,34.7,98.8,52.5,43.2,22.1,20.2,98.8
17,iv_dat,C5.0,100,63.7,100,100,100,100,100,74.4,80.2,29.3,24.4,88.1
18,iv_sub,C5.0,97.1,49,100,100,84.7,100,100,50.2,66,17,4,84.3
19,iv_tdat,C5.0,100,64.2,100,100,100,100,100,78.3,80.7,22.2,26.4,91.6
20,iv_tsub,C5.0,97.1,49,100,100,84.7,100,100,50.2,66,17,4,84.3
21,iv_dat,AdaBag,69.6,65.6,95.1,91.2,27.8,2,97.6,93.9,85.1,25,0,91.5
22,iv_sub,AdaBag,60.3,57.6,82.7,85.7,0,0,98.8,76.7,80.5,0,0,97.6
23,iv_tdat,AdaBag,69.6,65.6,95.1,91.2,27.8,2,97.6,93.9,85.1,25,0,91.5
24,iv_tsub,AdaBag,60.3,57.6,82.7,85.7,0,0,98.8,76.7,80.5,0,0,97.6
25,iv_dat,AdaBoost.M1,70.7,62.6,95.1,93.4,26.4,6.1,98.8,87.6,78.3,25,6.2,87.7
26,iv_sub,AdaBoost.M1,60.5,57.6,82.7,85.7,0,2,98.8,76.7,80.4,0,0,97.6
27,iv_tdat,AdaBoost.M1,70.7,66.1,95.1,93.4,26.4,6.1,98.8,95,84.9,23.5,4,91.5
28,iv_tsub,AdaBoost.M1,60.5,57.6,82.7,85.7,0,2,98.8,76.7,80.4,0,0,97.6
29,iv_dat,nbe,64.5,53.3,53.1,70.3,51.4,36.7,97.6,38.7,55.3,44.3,18.4,95.1
30,iv_sub,nbe,48.5,40.2,35.8,33,45.8,18.4,98.8,22,24.9,37.2,8.2,97.5
31,iv_tdat,nbe,63.7,52.8,46.9,71.4,52.8,36.7,97.6,34.8,56.4,44.3,18.4,95.1
32,iv_tsub,nbe,48.5,40.2,35.8,33,45.8,18.4,98.8,22,24.9,37.2,8.2,97.5
33,iv_dat,treebag,99.7,61.8,100,100,100,98,100,78.5,82.7,19.4,24.2,81.6
34,iv_sub,treebag,99.7,53.6,100,100,98.6,100,100,62.5,67.2,16.6,6,90.1
35,iv_tdat,treebag,99.7,61.8,100,100,100,98,100,78.5,82.7,19.4,24.2,81.6
36,iv_tsub,treebag,99.7,53.6,100,100,98.6,100,100,62.5,67.2,16.6,6,90.1
37,iv_dat,gbm,99.5,61.3,100,100,98.6,98,100,71,84.8,25,12,86.5
38,iv_sub,gbm,92.3,51.9,95.1,95.6,80.6,85.7,100,57.2,60.4,22.5,4,91.4
39,iv_tdat,gbm,99.7,61.3,100,100,100,98,100,71,84.8,25,12,86.5
40,iv_tsub,gbm,92.3,51.9,95.1,95.6,80.6,85.7,100,57.2,60.4,22.5,4,91.4
41,iv_dat,nnet,87.5,52.5,90.1,97.8,68.1,73.5,98.8,51.4,64.8,30.6,26.9,74.7
42,iv_sub,nnet,65.3,53.6,79,68.1,29.2,32.7,100,68.6,54.3,22.5,10.2,91.4
43,iv_tdat,nnet,85.9,52.5,88.9,97.8,68.1,65.3,97.6,50.2,63.5,32.1,16.7,80.7
44,iv_tsub,nnet,65.3,53.6,79,68.1,29.2,32.7,100,68.6,54.3,22.5,10.2,91.4
